curated_chunk_id,curated_section_id,year,chunk_index,title,theme,source_type,original_start_pdf_page,original_end_pdf_page,word_count
CUR2009_S005_C001,CUR2009_S005,2009,1,Bakgrundsmått,brukarperspektiv_och_kvalitet,legacy_title_located_in_original_report,23,25,722
CUR2009_S006_C001,CUR2009_S006,2009,1,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,880
CUR2009_S006_C002,CUR2009_S006,2009,2,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,902
CUR2009_S006_C003,CUR2009_S006,2009,3,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,923
CUR2009_S006_C004,CUR2009_S006,2009,4,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,915
CUR2009_S006_C005,CUR2009_S006,2009,5,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,902
CUR2009_S006_C006,CUR2009_S006,2009,6,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,905
CUR2009_S006_C007,CUR2009_S006,2009,7,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,887
CUR2009_S006_C008,CUR2009_S006,2009,8,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,873
CUR2009_S006_C009,CUR2009_S006,2009,9,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,938
CUR2009_S006_C010,CUR2009_S006,2009,10,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,967
CUR2009_S006_C011,CUR2009_S006,2009,11,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,893
CUR2009_S006_C012,CUR2009_S006,2009,12,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,912
CUR2009_S006_C013,CUR2009_S006,2009,13,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,893
CUR2009_S006_C014,CUR2009_S006,2009,14,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,889
CUR2009_S006_C015,CUR2009_S006,2009,15,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,893
CUR2009_S006_C016,CUR2009_S006,2009,16,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,901
CUR2009_S006_C017,CUR2009_S006,2009,17,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,914
CUR2009_S006_C018,CUR2009_S006,2009,18,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,894
CUR2009_S006_C019,CUR2009_S006,2009,19,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,858
CUR2009_S006_C020,CUR2009_S006,2009,20,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,895
CUR2009_S006_C021,CUR2009_S006,2009,21,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,872
CUR2009_S006_C022,CUR2009_S006,2009,22,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,628
CUR2009_S006_C023,CUR2009_S006,2009,23,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,391
CUR2009_S006_C024,CUR2009_S006,2009,24,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,375
CUR2009_S006_C025,CUR2009_S006,2009,25,Resultatindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,26,166,310
