report_id,year,source_file,pdf_page,word_count
R2009,2009,D:\Data\2009.pdf,52,74
R2009,2009,D:\Data\2009.pdf,53,279
R2009,2009,D:\Data\2009.pdf,54,348
R2009,2009,D:\Data\2009.pdf,55,443
R2009,2009,D:\Data\2009.pdf,56,309
R2009,2009,D:\Data\2009.pdf,57,77
R2009,2009,D:\Data\2009.pdf,58,354
R2009,2009,D:\Data\2009.pdf,59,73
R2009,2009,D:\Data\2009.pdf,60,329
R2009,2009,D:\Data\2009.pdf,61,67
R2009,2009,D:\Data\2009.pdf,62,323
R2009,2009,D:\Data\2009.pdf,63,281
R2009,2009,D:\Data\2009.pdf,64,59
R2009,2009,D:\Data\2009.pdf,65,443
R2009,2009,D:\Data\2009.pdf,66,68
R2009,2009,D:\Data\2009.pdf,67,174
R2009,2009,D:\Data\2009.pdf,68,322
R2009,2009,D:\Data\2009.pdf,69,65
R2009,2009,D:\Data\2009.pdf,70,274
R2009,2009,D:\Data\2009.pdf,71,65
R2009,2009,D:\Data\2009.pdf,72,408
R2009,2009,D:\Data\2009.pdf,73,45
R2009,2009,D:\Data\2009.pdf,74,276
R2009,2009,D:\Data\2009.pdf,75,280
R2009,2009,D:\Data\2009.pdf,76,243
R2009,2009,D:\Data\2009.pdf,77,254
R2009,2009,D:\Data\2009.pdf,78,336
R2009,2009,D:\Data\2009.pdf,79,71
R2009,2009,D:\Data\2009.pdf,80,76
R2009,2009,D:\Data\2009.pdf,81,325
R2009,2009,D:\Data\2009.pdf,82,338
R2009,2009,D:\Data\2009.pdf,83,72
R2009,2009,D:\Data\2009.pdf,84,303
R2009,2009,D:\Data\2009.pdf,85,63
R2009,2009,D:\Data\2009.pdf,86,178
R2009,2009,D:\Data\2009.pdf,87,62
R2009,2009,D:\Data\2009.pdf,88,316
R2009,2009,D:\Data\2009.pdf,89,160
R2009,2009,D:\Data\2009.pdf,90,334
R2009,2009,D:\Data\2009.pdf,91,106
R2009,2009,D:\Data\2009.pdf,92,211
R2009,2009,D:\Data\2009.pdf,93,423
R2009,2009,D:\Data\2009.pdf,94,476
R2009,2009,D:\Data\2009.pdf,95,150
R2009,2009,D:\Data\2009.pdf,96,43
R2009,2009,D:\Data\2009.pdf,97,133
R2009,2009,D:\Data\2009.pdf,98,55
R2009,2009,D:\Data\2009.pdf,99,309
R2009,2009,D:\Data\2009.pdf,100,346
R2009,2009,D:\Data\2009.pdf,101,331
R2009,2009,D:\Data\2009.pdf,102,345
R2009,2009,D:\Data\2009.pdf,103,203
R2009,2009,D:\Data\2009.pdf,104,294
R2009,2009,D:\Data\2009.pdf,105,362
R2009,2009,D:\Data\2009.pdf,106,241
R2009,2009,D:\Data\2009.pdf,107,310
R2009,2009,D:\Data\2009.pdf,108,258
R2009,2009,D:\Data\2009.pdf,109,277
R2009,2009,D:\Data\2009.pdf,110,1128
R2009,2009,D:\Data\2009.pdf,111,1127
R2009,2009,D:\Data\2009.pdf,112,1107
R2009,2009,D:\Data\2009.pdf,113,1106
R2009,2009,D:\Data\2009.pdf,114,1030
R2009,2009,D:\Data\2009.pdf,115,1029
R2009,2009,D:\Data\2009.pdf,116,1175
R2009,2009,D:\Data\2009.pdf,117,1174
R2009,2009,D:\Data\2009.pdf,118,1278
R2009,2009,D:\Data\2009.pdf,119,1277
R2009,2009,D:\Data\2009.pdf,120,1128
R2009,2009,D:\Data\2009.pdf,121,1127
R2009,2009,D:\Data\2009.pdf,122,1173
R2009,2009,D:\Data\2009.pdf,123,1171
R2009,2009,D:\Data\2009.pdf,124,1070
R2009,2009,D:\Data\2009.pdf,125,1068
R2009,2009,D:\Data\2009.pdf,126,510
R2009,2009,D:\Data\2009.pdf,127,510
R2009,2009,D:\Data\2009.pdf,128,1367
R2009,2009,D:\Data\2009.pdf,129,1369
R2009,2009,D:\Data\2009.pdf,130,1538
R2009,2009,D:\Data\2009.pdf,131,1538
R2009,2009,D:\Data\2009.pdf,132,1399
R2009,2009,D:\Data\2009.pdf,133,1394
R2009,2009,D:\Data\2009.pdf,134,1463
R2009,2009,D:\Data\2009.pdf,135,1459
R2009,2009,D:\Data\2009.pdf,136,1547
R2009,2009,D:\Data\2009.pdf,137,1549
R2009,2009,D:\Data\2009.pdf,138,1434
R2009,2009,D:\Data\2009.pdf,139,1425
R2009,2009,D:\Data\2009.pdf,140,1504
R2009,2009,D:\Data\2009.pdf,141,1507
R2009,2009,D:\Data\2009.pdf,142,1340
R2009,2009,D:\Data\2009.pdf,143,1340
R2009,2009,D:\Data\2009.pdf,144,642
R2009,2009,D:\Data\2009.pdf,145,645
R2009,2009,D:\Data\2009.pdf,146,1166
R2009,2009,D:\Data\2009.pdf,147,1165
R2009,2009,D:\Data\2009.pdf,148,1194
R2009,2009,D:\Data\2009.pdf,149,1193
R2009,2009,D:\Data\2009.pdf,150,1116
R2009,2009,D:\Data\2009.pdf,151,1090
R2009,2009,D:\Data\2009.pdf,152,1221
R2009,2009,D:\Data\2009.pdf,153,1219
R2009,2009,D:\Data\2009.pdf,154,1353
R2009,2009,D:\Data\2009.pdf,155,1351
R2009,2009,D:\Data\2009.pdf,156,1163
R2009,2009,D:\Data\2009.pdf,157,1162
R2009,2009,D:\Data\2009.pdf,158,1216
R2009,2009,D:\Data\2009.pdf,159,1215
R2009,2009,D:\Data\2009.pdf,160,1164
R2009,2009,D:\Data\2009.pdf,161,1129
R2009,2009,D:\Data\2009.pdf,162,529
R2009,2009,D:\Data\2009.pdf,163,527
R2009,2009,D:\Data\2009.pdf,164,11
R2009,2009,D:\Data\2009.pdf,165,149
R2009,2009,D:\Data\2009.pdf,166,246
R2010,2010,D:\Data\2010-12-1.pdf,1,174
R2010,2010,D:\Data\2010-12-1.pdf,2,10
R2010,2010,D:\Data\2010-12-1.pdf,3,18
R2010,2010,D:\Data\2010-12-1.pdf,4,103
R2010,2010,D:\Data\2010-12-1.pdf,5,257
R2010,2010,D:\Data\2010-12-1.pdf,6,213
R2010,2010,D:\Data\2010-12-1.pdf,7,106
R2010,2010,D:\Data\2010-12-1.pdf,8,10
R2010,2010,D:\Data\2010-12-1.pdf,9,310
R2010,2010,D:\Data\2010-12-1.pdf,10,284
R2010,2010,D:\Data\2010-12-1.pdf,11,134
R2010,2010,D:\Data\2010-12-1.pdf,12,10
R2010,2010,D:\Data\2010-12-1.pdf,13,400
R2010,2010,D:\Data\2010-12-1.pdf,14,384
R2010,2010,D:\Data\2010-12-1.pdf,15,417
R2010,2010,D:\Data\2010-12-1.pdf,16,10
R2010,2010,D:\Data\2010-12-1.pdf,17,333
R2010,2010,D:\Data\2010-12-1.pdf,18,357
R2010,2010,D:\Data\2010-12-1.pdf,19,169
R2010,2010,D:\Data\2010-12-1.pdf,20,10
R2010,2010,D:\Data\2010-12-1.pdf,21,254
R2010,2010,D:\Data\2010-12-1.pdf,22,176
R2010,2010,D:\Data\2010-12-1.pdf,23,217
R2010,2010,D:\Data\2010-12-1.pdf,24,245
R2010,2010,D:\Data\2010-12-1.pdf,25,209
R2010,2010,D:\Data\2010-12-1.pdf,26,142
R2010,2010,D:\Data\2010-12-1.pdf,27,238
R2010,2010,D:\Data\2010-12-1.pdf,28,224
R2010,2010,D:\Data\2010-12-1.pdf,29,215
R2010,2010,D:\Data\2010-12-1.pdf,30,294
R2010,2010,D:\Data\2010-12-1.pdf,31,241
R2010,2010,D:\Data\2010-12-1.pdf,32,228
R2010,2010,D:\Data\2010-12-1.pdf,33,491
R2010,2010,D:\Data\2010-12-1.pdf,34,319
R2010,2010,D:\Data\2010-12-1.pdf,35,190
R2010,2010,D:\Data\2010-12-1.pdf,36,320
R2010,2010,D:\Data\2010-12-1.pdf,37,292
R2010,2010,D:\Data\2010-12-1.pdf,38,406
R2010,2010,D:\Data\2010-12-1.pdf,39,85
R2010,2010,D:\Data\2010-12-1.pdf,40,361
R2010,2010,D:\Data\2010-12-1.pdf,41,81
R2010,2010,D:\Data\2010-12-1.pdf,42,348
R2010,2010,D:\Data\2010-12-1.pdf,43,386
R2010,2010,D:\Data\2010-12-1.pdf,44,322
R2010,2010,D:\Data\2010-12-1.pdf,45,275
R2010,2010,D:\Data\2010-12-1.pdf,46,405
R2010,2010,D:\Data\2010-12-1.pdf,47,349
R2010,2010,D:\Data\2010-12-1.pdf,48,317
R2010,2010,D:\Data\2010-12-1.pdf,49,173
R2010,2010,D:\Data\2010-12-1.pdf,50,331
R2010,2010,D:\Data\2010-12-1.pdf,51,360
R2010,2010,D:\Data\2010-12-1.pdf,52,116
R2010,2010,D:\Data\2010-12-1.pdf,53,270
R2010,2010,D:\Data\2010-12-1.pdf,54,117
R2010,2010,D:\Data\2010-12-1.pdf,55,239
R2010,2010,D:\Data\2010-12-1.pdf,56,116
R2010,2010,D:\Data\2010-12-1.pdf,57,253
R2010,2010,D:\Data\2010-12-1.pdf,58,111
R2010,2010,D:\Data\2010-12-1.pdf,59,369
R2010,2010,D:\Data\2010-12-1.pdf,60,279
R2010,2010,D:\Data\2010-12-1.pdf,61,439
R2010,2010,D:\Data\2010-12-1.pdf,62,318
R2010,2010,D:\Data\2010-12-1.pdf,63,506
R2010,2010,D:\Data\2010-12-1.pdf,64,53
R2010,2010,D:\Data\2010-12-1.pdf,65,271
R2010,2010,D:\Data\2010-12-1.pdf,66,324
R2010,2010,D:\Data\2010-12-1.pdf,67,352
R2010,2010,D:\Data\2010-12-1.pdf,68,407
R2010,2010,D:\Data\2010-12-1.pdf,69,392
R2010,2010,D:\Data\2010-12-1.pdf,70,299
R2010,2010,D:\Data\2010-12-1.pdf,71,134
R2010,2010,D:\Data\2010-12-1.pdf,72,344
R2010,2010,D:\Data\2010-12-1.pdf,73,428
R2010,2010,D:\Data\2010-12-1.pdf,74,229
R2010,2010,D:\Data\2010-12-1.pdf,75,186
R2010,2010,D:\Data\2010-12-1.pdf,76,990
R2010,2010,D:\Data\2010-12-1.pdf,77,984
R2010,2010,D:\Data\2010-12-1.pdf,78,966
R2010,2010,D:\Data\2010-12-1.pdf,79,960
R2010,2010,D:\Data\2010-12-1.pdf,80,864
R2010,2010,D:\Data\2010-12-1.pdf,81,856
R2010,2010,D:\Data\2010-12-1.pdf,82,1008
R2010,2010,D:\Data\2010-12-1.pdf,83,1002
